contributor_login,total_commits
ablaom,9076
tlienart,936
EssamWisam,770
OkonSamuel,675
bensadeghi,334
DilumAluthge,144
pebeto,141
ysimillides,125
olivierlabayle,103
jbrea,96
rikhuijzer,92
ludoro,79
pazzo83,78
svilupp,72
vollmersj,72
lhnguyen-vn,66
darenasc,62
tylerjthomas9,57
deyandyankov,56
github-actions[bot],51
roland-KA,48
davnn,46
abhro,46
ven-k,40
josephsdavid,39
CameronBieganek,34
Eight1911,30
ExpandingMan,29
giordano,28
cstjean,28
juliohm,23
tiemvanderdeure,23
Yuan-Ru-Lin,18
ayush-1506,16
tchiarawongs,15
azev77,14
awadell1,13
john-waczak,13
darrencl,12
ayush1999,12
aviatesk,11
dmolina,9
oleskiewicz,9
ericphanson,8
devmotion,8
salbert83,8
bkamins,8
cscherrer,7
JuliaTagBot,7
mateuszbaran,7
jpsamaroo,7
dominusmi,7
kmsquire,6
yufongpeng,6
IanButterworth,6
sylvaticus,6
swenkel,6
adarshpalaskar1,5
MilesCranmer,5
jrfiedler,5
IainNZ,5
arvganesh,5
aa25desh,4
Arkoniak,4
ValdarT,4
Chandu-4444,4
i-aki-y,4
Moelf,4
barucden,4
ashryaagr,4
dependabot[bot],4
skleinbo,4
testercwt,4
characat0,3
filipepfarias,3
Roeya,3
adityasaini70,3
KronosTheLate,3
zsz00,3
dcjones,3
drcxcruz,3
xiaodaigh,3
pat-alt,3
stemann,2
vonpetersenn,2
PallHaraldsson,2
kimlaberinto,2
wolthom,2
ZacLN,2
AttilaKovacs,2
KristofferC,2
roberthoenig,2
xinadi,2
JackDunnNZ,2
andreasnoack,2
mtsch,2
xgdgsc,2
sayantan1410,2
sjvollmer,2
mkborregaard,2
davidbp,2
antoninkriz,2
joaquinvanschoren,2
dpaetzel,1
adienes,1
cmey,1
nsajko,1
Pangoraw,1
Rahulub3r,1
dmahasen,1
wilan-wong-1,1
AndrewHannigan,1
Aerlinger,1
aviks,1
blegat,1
dhanak,1
diegozea,1
norci,1
rafaqz,1
regonn,1
QuinnAsena,1
jonathandinu,1
vdayanand,1
yalwan-iqvia,1
liuyxpp,1
paniash,1
nilshg,1
takuti,1
besp-kt,1
era127,1
joclement,1
pshashk,1
bsdrks,1
caesquerre,1
Sh4pe,1
dsweber2,1
evelinag,1
jd-foster,1
Kryohi,1
logankilpatrick,1
mjsmith037,1
MelihDarcanxyz,1
nalimilan,1
BKaperick,1
krz,1
felixcremer,1
pitmonticone,1
BeastyBlacksmith,1
